x,y,z,RSSI,time,label
0,0,0,-99.74316504,1,0
0,0.5,0,-98.3005352,1,0
0,1,0,-93.89083882,1,0
0,1.5,0,-85.63355039,1,0
0,2,0,-87.82508958,1,0
0,2.5,0,-89.63126595,1,0
0,3,0,-89.7253749,1,0
0,3.5,0,-86.0316853,1,0
0,4,0,-84.89097408,1,0
0,4.5,0,-87.76447626,1,0
0,5,0,-88.70282572,1,0
0,5.5,0,-98.18133051,1,0
0,6,0,-88.32667987,1,0
0,6.5,0,-89.45540793,1,0
0,7,0,-95.59905633,1,0
0,7.5,0,-92.53256267,1,0
0,8,0,-86.76291161,1,0
0,8.5,0,-83.44182643,1,0
0,9,0,-90.32734325,1,0
0,9.5,0,-90.99176972,1,0
0,10,0,-100.1903115,1,0
0.5,0,0,-89.92070161,1,0
0.5,0.5,0,-97.35176935,1,0
0.5,1,0,-97.34214324,1,0
0.5,1.5,0,-95.82482979,1,0
0.5,2,0,-85.19585145,1,0
0.5,2.5,0,-90.23756521,1,0
0.5,3,0,-86.56012617,1,0
0.5,3.5,0,-88.99396524,1,0
0.5,4,0,-89.88620217,1,0
0.5,4.5,0,-89.43097498,1,0
0.5,5,0,-78.15409417,1,0
0.5,5.5,0,-88.11421687,1,0
0.5,6,0,-85.82344972,1,0
0.5,6.5,0,-79.70391251,1,0
0.5,7,0,-87.87099862,1,0
0.5,7.5,0,-92.53574704,1,0
0.5,8,0,-93.29523512,1,0
0.5,8.5,0,-83.1813591,1,0
0.5,9,0,-97.7187409,1,0
0.5,9.5,0,-88.72786695,1,0
0.5,10,0,-87.00616988,1,0
1,0,0,-95.93377187,1,0
1,0.5,0,-102.4714235,1,0
1,1,0,-94.70003221,1,0
1,1.5,0,-98.39345718,1,0
1,2,0,-87.04170507,1,0
1,2.5,0,-95.34668505,1,0
1,3,0,-88.33430626,1,0
1,3.5,0,-85.75913688,1,0
1,4,0,-86.05873836,1,0
1,4.5,0,-95.25411983,1,0
1,5,0,-83.10712289,1,0
1,5.5,0,-82.35827087,1,0
1,6,0,-78.99575004,1,0
