x,y,z,signal_strength
-5,-5,0,-113.97
-5,-4.9,0,-113.41
-5,-4.8,0,-110.7
-5,-4.7,0,-106.04
-5,-4.6,0,-109.55
-5,-4.5,0,-109.05
-5,-4.4,0,-108.7
-5,-4.3,0,-108.5
-5,-4.2,0,-106.79
-5,-4.1,0,-105.54
-5,-4,0,-111.83
-5,-3.9,0,-113.74
-5,-3.8,0,-114.9
-5,-3.7,0,-106.71
-5,-3.6,0,-112.96
-5,-3.5,0,-111.68
-5,-3.4,0,-104.8
-5,-3.3,0,-106.41
-5,-3.2,0,-99.64
-5,-3.1,0,-113.64
-5,-3,0,-111.47
-5,-2.9,0,-110.91
-5,-2.8,0,-105.6
-5,-2.7,0,-105.31
-5,-2.6,0,-106.5
-5,-2.5,0,-96.946
-5,-2.4,0,-105.26
-5,-2.3,0,-108.37
-5,-2.2,0,-108.53
-5,-2.1,0,-102.13
-5,-2,0,-104.24
-5,-1.9,0,-117.7
-5,-1.8,0,-98.316
-5,-1.7,0,-108.16
-5,-1.6,0,-101.61
-5,-1.5,0,-123.14
-5,-1.4,0,-113.88
-5,-1.3,0,-107.71
-5,-1.2,0,-114.62
-5,-1.1,0,-106.35
-5,-1,0,-101.57
-5,-0.9,0,-111.2
-5,-0.8,0,-115.42
-5,-0.7,0,-103.62
-5,-0.6,0,-109.62
-5,-0.5,0,-103.78
-5,-0.4,0,-101.97
-5,-0.3,0,-91.11
-5,-0.2,0,-110.3
-5,-0.1,0,-103.83
-5,0,0,-108.49
-5,0.1,0,-110.65
-5,0.2,0,-109.63
-5,0.3,0,-115.15
-5,0.4,0,-114.54
-5,0.5,0,-101.59
-5,0.6,0,-115.39
-5,0.7,0,-108.16
-5,0.8,0,-107.89
-5,0.9,0,-113.31
-5,1,0,-103.03
-5,1.1,0,-111.94
-5,1.2,0,-112.9
-5,1.3,0,-104.55
-5,1.4,0,-97.615
-5,1.5,0,-108.23
-5,1.6,0,-105.57
-5,1.7,0,-114.92
-5,1.8,0,-108.02
-5,1.9,0,-105.03
-5,2,0,-111.02
-5,2.1,0,-105.86
-5,2.2,0,-117.42
-5,2.3,0,-104.37
-5,2.4,0,-111.07
-5,2.5,0,-119.48
-5,2.6,0,-103.26
-5,2.7,0,-109.11
-5,2.8,0,-109.28
-5,2.9,0,-113.05
-5,3,0,-106.58
-5,3.1,0,-102.99
-5,3.2,0,-111.27
-5,3.3,0,-104.4
-5,3.4,0,-106.73
-5,3.5,0,-109.87
-5,3.6,0,-92.293
-5,3.7,0,-105.39
-5,3.8,0,-106.07
-5,3.9,0,-120.11
-5,4,0,-108.5
-5,4.1,0,-120.21
-5,4.2,0,-115.89
-5,4.3,0,-97.99
-5,4.4,0,-110.58
-5,4.5,0,-113.08
-5,4.6,0,-103.19
-5,4.7,0,-112.41
-5,4.8,0,-116.99
-5,4.9,0,-116.04
-5,5,0,-119.29
-4.9,-5,0,-110.07
-4.9,-4.9,0,-107.91
-4.9,-4.8,0,-108.68
-4.9,-4.7,0,-108.47
-4.9,-4.6,0,-113.97
-4.9,-4.5,0,-109.14
-4.9,-4.4,0,-118.68
-4.9,-4.3,0,-97.204
-4.9,-4.2,0,-120.37
-4.9,-4.1,0,-116.99
-4.9,-4,0,-109.91
-4.9,-3.9,0,-107.96
-4.9,-3.8,0,-101.85
-4.9,-3.7,0,-110.91
-4.9,-3.6,0,-110.25
-4.9,-3.5,0,-123.86
-4.9,-3.4,0,-107.5
-4.9,-3.3,0,-114.82
-4.9,-3.2,0,-110.77
-4.9,-3.1,0,-111.02
-4.9,-3,0,-118.7
-4.9,-2.9,0,-114.71
-4.9,-2.8,0,-109.56
-4.9,-2.7,0,-101.79
-4.9,-2.6,0,-111.66
-4.9,-2.5,0,-112.58
-4.9,-2.4,0,-103.46
-4.9,-2.3,0,-104.6
-4.9,-2.2,0,-100.19
-4.9,-2.1,0,-106.14
-4.9,-2,0,-114.98
-4.9,-1.9,0,-104.52
-4.9,-1.8,0,-106.33
